group_id,group,file_code,question,base,type,group_weight,source_name,source_path,source_type,target_name
1,Resource Efficiency,Q1,What actions is your company undertaking to be more resource efficient?,All,MULTIPLE ANSWERS POSSIBLE,"0.1",Q1.csv,/Users/minhtan/Documents/GitHub/SEBL-2025/data/cleaned_data/volume_A/Q1.csv,.csv,group1_Q1
1,Resource Efficiency,Q2,What are the additional resource efficiency actions planned?,All,MULTIPLE ANSWERS POSSIBLE,"0.1",Q2.csv,/Users/minhtan/Documents/GitHub/SEBL-2025/data/cleaned_data/volume_A/Q2.csv,.csv,group1_Q2
1,Resource Efficiency,Q3,What impact have actions had on production costs?,IF CODE 1-9 in Q1,ONE ANSWER ONLY,"0.1",Q3.csv,/Users/minhtan/Documents/GitHub/SEBL-2025/data/cleaned_data/volume_A/Q3.csv,.csv,group1_Q3
1,Resource Efficiency,Q4,How much have you invested per year to be more resource efficient?,IF CODE 1-9 in Q1,ONE ANSWER ONLY,"0.1",Q4.csv,/Users/minhtan/Documents/GitHub/SEBL-2025/data/cleaned_data/volume_A/Q4.csv,.csv,group1_Q4
1,Resource Efficiency,Q5,Which type of support does your company rely on?,IF CODE 1-9 in Q1,MULTIPLE ANSWERS POSSIBLE,"0.1",Q5.csv,/Users/minhtan/Documents/GitHub/SEBL-2025/data/cleaned_data/volume_A/Q5.csv,.csv,group1_Q5
1,Resource Efficiency,Q6,Which type of external support is it?,IF Q5=3,MULTIPLE ANSWERS POSSIBLE,"0.1",Q6.csv,/Users/minhtan/Documents/GitHub/SEBL-2025/data/cleaned_data/volume_A/Q6.csv,.csv,group1_Q6
1,Resource Efficiency,Q7,Difficulties setting up resource efficiency actions?,IF CODE 1-9 in Q1,MULTIPLE ANSWERS POSSIBLE,"0.1",Q7.csv,/Users/minhtan/Documents/GitHub/SEBL-2025/data/cleaned_data/volume_A/Q7.csv,.csv,group1_Q7
1,Resource Efficiency,Q8,What would help your company to be more resource efficient?,All,MAX. 3 ANSWERS POSSIBLE,"0.1",Q8.csv,/Users/minhtan/Documents/GitHub/SEBL-2025/data/cleaned_data/volume_A/Q8.csv,.csv,group1_Q8
2,Energy & Circular Economy,N1a,Does your company use renewable energy?,All,ONE ANSWER ONLY,"0.5",N1a.csv,/Users/minhtan/Documents/GitHub/SEBL-2025/data/cleaned_data/volume_A/N1a.csv,.csv,group2_N1a
2,Energy & Circular Economy,N1b,Share of energy generated on-site,IF N1a = 2,ONE ANSWER ONLY,"0.5",N1b.csv,/Users/minhtan/Documents/GitHub/SEBL-2025/data/cleaned_data/volume_A/N1b.csv,.csv,group2_N1b
