,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
increased_10_or_more_annually_on_average_over_the_past_three_years,1593.0,342.0,502.0,596.0,733.0,921.0,1463.0,207.0,532.0,625.0,680.0,436.0,1157.0,395.0,171.0,226.0,45.0,1971.0
increased_10_or_more_annually_on_average_over_the_past_three_years_percentage,12.1,11.4,11.5,12.1,12.2,12.3,12.2,14.1,11.8,11.2,11.2,12.1,12.2,11.7,10.5,19.5,9.4,11.7
increased_by_less_than_10_annually_on_average_over_the_past_three_years,2329.0,710.0,1194.0,1292.0,1474.0,1794.0,2519.0,250.0,442.0,478.0,514.0,309.0,1973.0,551.0,45.0,109.0,37.0,2817.0
increased_by_less_than_10_annually_on_average_over_the_past_three_years_percentage,17.7,23.7,27.4,26.2,24.4,23.9,21.0,17.0,9.8,8.6,8.5,8.5,20.7,16.3,2.8,9.4,7.9,16.7
remained_unchanged,6505.0,1284.0,1758.0,2035.0,2633.0,3308.0,5615.0,738.0,2566.0,3278.0,3571.0,2133.0,4420.0,1721.0,1017.0,637.0,330.0,8817.0
remained_unchanged_percentage,49.6,42.7,40.4,41.3,43.7,44.1,46.8,50.4,57.0,58.9,58.9,59.0,46.5,51.0,62.8,54.9,69.5,52.2
decreased,2617.0,637.0,854.0,948.0,1138.0,1410.0,2313.0,263.0,949.0,1177.0,1286.0,732.0,1887.0,692.0,386.0,174.0,56.0,3179.0
decreased_percentage,19.9,21.2,19.6,19.3,18.9,18.8,19.3,17.9,21.1,21.1,21.2,20.3,19.8,20.5,23.9,15.0,11.9,18.8
don_t_know_no_answer,80.0,30.0,48.0,51.0,53.0,64.0,87.0,8.0,10.0,11.0,12.0,4.0,73.0,16.0,1.0,14.0,6.0,122.0
don_t_know_no_answer_percentage,0.6,1.0,1.1,1.0,0.9,0.9,0.7,0.6,0.2,0.2,0.2,0.1,0.8,0.5,0.1,1.2,1.3,0.7
