,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
saving_water,6371.0,1362.0,1970.0,2234.0,2939.0,3607.0,5841.0,587.0,2289.0,2764.0,2982.0,1686.0,4676.0,1727.0,811.0,359.0,289.0,8439.0
saving_water_percentage,48.5,45.3,45.2,45.4,48.7,48.1,48.7,40.1,50.9,49.6,49.2,46.6,49.2,51.2,50.1,31.0,60.9,49.9
saving_energy,8675.0,1980.0,2775.0,3144.0,3965.0,4930.0,7870.0,970.0,2924.0,3526.0,3818.0,2299.0,6364.0,2305.0,841.0,672.0,324.0,10839.0
saving_energy_percentage,66.1,65.9,63.7,63.9,65.7,65.8,65.6,66.2,65.0,63.3,63.0,63.6,66.9,68.3,51.9,58.0,68.3,64.1
using_predominantly_renewable_energy_e_g_including_own_production_through_solar_panels_etc_,3165.0,853.0,1212.0,1340.0,1602.0,2047.0,2995.0,546.0,724.0,844.0,911.0,683.0,2455.0,787.0,171.0,277.0,67.0,3652.0
using_predominantly_renewable_energy_e_g_including_own_production_through_solar_panels_etc__percentage,24.1,28.4,27.8,27.2,26.6,27.3,25.0,37.3,16.1,15.2,15.0,18.9,25.8,23.3,10.5,23.9,14.2,21.6
saving_materials,7412.0,1645.0,2324.0,2632.0,3370.0,4246.0,6770.0,978.0,2506.0,3009.0,3253.0,1982.0,5422.0,1922.0,900.0,571.0,320.0,9676.0
saving_materials_percentage,56.5,54.8,53.3,53.5,55.9,56.6,56.4,66.7,55.7,54.0,53.7,54.8,57.0,57.0,55.5,49.3,67.3,57.2
switching_to_greener_suppliers_of_materials,4369.0,991.0,1499.0,1693.0,2172.0,2697.0,4113.0,519.0,1253.0,1598.0,1718.0,1045.0,3301.0,1187.0,623.0,476.0,227.0,6149.0
switching_to_greener_suppliers_of_materials_percentage,33.3,33.0,34.4,34.4,36.0,36.0,34.3,35.4,27.9,28.7,28.3,28.9,34.7,35.2,38.5,41.0,47.8,36.4
