,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
save_water,5862.0,1228.0,1714.0,1960.0,2653.0,3235.0,5253.0,468.0,2080.0,2607.0,2810.0,1592.0,4267.0,1658.0,715.0,250.0,317.0,7878.0
save_water_percentage,44.7,40.9,39.4,39.8,44.0,43.1,43.8,31.9,46.2,46.8,46.4,44.0,44.9,49.1,44.1,21.5,66.7,46.6
save_energy,7554.0,1700.0,2493.0,2842.0,3600.0,4436.0,6978.0,768.0,2445.0,3087.0,3336.0,1959.0,5578.0,2061.0,822.0,560.0,350.0,10024.0
save_energy_percentage,57.6,56.6,57.2,57.8,59.7,59.2,58.2,52.4,54.3,55.4,55.0,54.2,58.7,61.1,50.8,48.3,73.6,59.3
use_predominantly_renewable_energy_e_g_including_own_production_through_solar_panels_etc_,4465.0,1039.0,1431.0,1634.0,2109.0,2612.0,3985.0,487.0,1216.0,1615.0,1752.0,1089.0,3356.0,1160.0,423.0,347.0,135.0,5404.0
use_predominantly_renewable_energy_e_g_including_own_production_through_solar_panels_etc__percentage,34.0,34.6,32.8,33.2,35.0,34.8,33.2,33.2,27.0,29.0,28.9,30.1,35.3,34.4,26.1,29.9,28.4,32.0
save_materials,6141.0,1267.0,1815.0,2074.0,2785.0,3436.0,5541.0,607.0,2140.0,2702.0,2914.0,1684.0,4456.0,1667.0,882.0,464.0,331.0,8472.0
save_materials_percentage,46.8,42.2,41.7,42.1,46.2,45.8,46.2,41.4,47.6,48.5,48.1,46.6,46.9,49.4,54.4,40.0,69.7,50.1
switch_to_greener_suppliers_of_materials,4535.0,963.0,1518.0,1735.0,2318.0,2809.0,4313.0,360.0,1359.0,1786.0,1926.0,1130.0,3388.0,1261.0,743.0,425.0,260.0,6666.0
switch_to_greener_suppliers_of_materials_percentage,34.6,32.1,34.9,35.3,38.4,37.5,36.0,24.6,30.2,32.1,31.8,31.3,35.6,37.4,45.8,36.6,54.8,39.4
