,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
products,2953.0,696.0,1011.0,1130.0,1399.0,1724.0,2688.0,300.0,907.0,1174.0,1267.0,763.0,2183.0,714.0,534.0,259.0,102.0,3950.0
products_percentage,22.5,23.2,23.2,23.0,23.2,23.0,22.4,20.5,20.2,21.1,20.9,21.1,23.0,21.2,33.0,22.3,21.4,23.4
services,5907.0,1262.0,1812.0,2060.0,2589.0,3235.0,5356.0,678.0,2264.0,2741.0,2993.0,1747.0,4177.0,1559.0,529.0,423.0,200.0,7282.0
services_percentage,45.0,42.0,41.6,41.8,42.9,43.2,44.6,46.3,50.3,49.2,49.4,48.3,43.9,46.2,32.7,36.5,42.2,43.1
both_products_and_services,4125.0,1009.0,1466.0,1662.0,1961.0,2428.0,3804.0,451.0,1311.0,1633.0,1780.0,1072.0,3044.0,1067.0,556.0,462.0,157.0,5445.0
both_products_and_services_percentage,31.4,33.6,33.7,33.8,32.5,32.4,31.7,30.8,29.1,29.3,29.4,29.7,32.0,31.6,34.3,39.9,33.1,32.2
don_t_know_no_answer,138.0,36.0,66.0,71.0,83.0,109.0,148.0,36.0,17.0,20.0,23.0,32.0,105.0,34.0,0.0,15.0,16.0,230.0
don_t_know_no_answer_percentage,1.1,1.2,1.5,1.4,1.4,1.5,1.2,2.5,0.4,0.4,0.4,0.9,1.1,1.0,0.0,1.3,3.4,1.4
