,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,1155.0,303.0,462.0,528.0,618.0,861.0,1145.0,243.0,284.0,331.0,353.0,288.0,867.0,267.0,83.0,173.0,72.0,1549.0
base_weighted_total,1042.0,253.0,385.0,438.0,563.0,720.0,1006.0,194.0,168.0,210.0,225.0,158.0,866.0,255.0,22.0,139.0,61.0,1376.0
public_funding_such_as_grants_guarantees_or_loans,193.0,41.0,55.0,68.0,87.0,117.0,175.0,46.0,50.0,56.0,60.0,39.0,152.0,33.0,2.0,33.0,11.0,240.0
public_funding_such_as_grants_guarantees_or_loans_percentage,18.5,16.1,14.4,15.4,15.5,16.2,17.5,23.5,29.4,26.6,26.6,24.5,17.6,12.8,7.5,23.5,17.9,17.5
private_funding_from_a_bank_investment_company_or_venture_capital_fund,189.0,30.0,45.0,53.0,87.0,118.0,167.0,49.0,33.0,46.0,49.0,34.0,152.0,43.0,2.0,28.0,9.0,227.0
private_funding_from_a_bank_investment_company_or_venture_capital_fund_percentage,18.1,12.0,11.7,12.1,15.4,16.3,16.7,25.4,19.7,21.9,21.9,21.4,17.6,17.0,10.8,20.1,14.6,16.5
private_funding_from_friends_or_relatives,123.0,40.0,55.0,60.0,67.0,81.0,116.0,8.0,25.0,34.0,36.0,14.0,106.0,36.0,11.0,11.0,8.0,174.0
private_funding_from_friends_or_relatives_percentage,11.8,15.9,14.4,13.7,12.0,11.2,11.5,3.9,14.8,16.0,16.0,8.8,12.3,14.2,48.8,8.3,13.6,12.7
advice_or_other_non_financial_assistance_from_public_administration,195.0,54.0,83.0,90.0,102.0,137.0,193.0,52.0,36.0,38.0,41.0,26.0,165.0,33.0,11.0,37.0,15.0,286.0
advice_or_other_non_financial_assistance_from_public_administration_percentage,18.7,21.5,21.5,20.6,18.2,19.0,19.2,26.6,21.2,18.0,18.0,16.4,19.1,12.9,48.4,26.8,25.0,20.8
advice_or_other_non_financial_assistance_from_private_consulting_and_audit_companies,327.0,64.0,111.0,124.0,182.0,235.0,330.0,69.0,59.0,71.0,76.0,63.0,260.0,83.0,11.0,25.0,23.0,462.0
advice_or_other_non_financial_assistance_from_private_consulting_and_audit_companies_percentage,31.4,25.4,28.8,28.2,32.3,32.6,32.8,35.5,34.8,34.1,33.7,40.1,30.0,32.5,48.6,17.7,37.4,33.6
advice_or_other_non_financial_assistance_from_business_associations_and_clusters,316.0,56.0,84.0,99.0,148.0,202.0,285.0,86.0,52.0,61.0,65.0,54.0,257.0,75.0,4.0,38.0,35.0,465.0
advice_or_other_non_financial_assistance_from_business_associations_and_clusters_percentage,30.3,22.0,21.7,22.5,26.3,28.0,28.3,44.4,31.1,28.9,28.7,34.0,29.7,29.3,15.9,27.3,57.2,33.8
advice_or_other_non_financial_assistance_from_supply_chain_partners,427.0,95.0,153.0,176.0,225.0,286.0,417.0,72.0,99.0,122.0,130.0,97.0,327.0,97.0,13.0,58.0,41.0,650.0
advice_or_other_non_financial_assistance_from_supply_chain_partners_percentage,40.9,37.5,39.7,40.2,40.0,39.7,41.5,36.8,58.7,58.3,57.9,61.2,37.8,38.0,58.4,41.6,67.2,47.2
other_do_not_read_out_,101.0,31.0,40.0,46.0,52.0,63.0,87.0,9.0,13.0,19.0,21.0,15.0,85.0,25.0,0.0,7.0,5.0,116.0
other_do_not_read_out__percentage,9.7,12.1,10.3,10.5,9.2,8.8,8.7,4.4,7.8,9.1,9.5,9.2,9.8,9.9,2.2,5.2,7.5,8.4
don_t_know_no_answer,50.0,14.0,20.0,21.0,26.0,33.0,47.0,9.0,8.0,10.0,11.0,9.0,41.0,14.0,1.0,16.0,7.0,86.0
don_t_know_no_answer_percentage,4.8,5.7,5.1,4.8,4.6,4.6,4.7,4.8,4.9,5.0,5.0,5.5,4.7,5.5,6.5,11.5,11.3,6.2
total_public_sector_,333.0,85.0,124.0,142.0,170.0,226.0,321.0,83.0,62.0,69.0,74.0,49.0,278.0,59.0,12.0,56.0,20.0,445.0
total_public_sector__percentage,32.0,33.6,32.3,32.4,30.2,31.4,31.9,42.8,37.0,32.9,33.0,31.1,32.1,23.0,54.4,40.6,32.6,32.3
total_private_sector_,847.0,197.0,308.0,350.0,456.0,588.0,825.0,171.0,142.0,175.0,187.0,131.0,702.0,207.0,19.0,104.0,49.0,1124.0
total_private_sector__percentage,81.3,77.8,80.0,79.9,81.1,81.7,82.0,88.0,84.3,83.4,83.2,82.6,81.1,81.1,85.6,75.3,81.2,81.6
