,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
a_tool_to_self_assess_how_resource_efficient_your_company_is_with_respect_to_other_companies,1905.0,444.0,684.0,774.0,988.0,1238.0,1835.0,269.0,479.0,567.0,612.0,429.0,1462.0,519.0,240.0,260.0,73.0,2546.0
a_tool_to_self_assess_how_resource_efficient_your_company_is_with_respect_to_other_companies_percentage,14.5,14.8,15.7,15.7,16.4,16.5,15.3,18.4,10.7,10.2,10.1,11.9,15.4,15.4,14.8,22.4,15.3,15.1
consultancy_on_how_to_improve_resource_efficiency_in_your_company,3220.0,733.0,1005.0,1155.0,1530.0,1896.0,2861.0,353.0,828.0,1096.0,1186.0,722.0,2475.0,839.0,302.0,223.0,88.0,3821.0
consultancy_on_how_to_improve_resource_efficiency_in_your_company_percentage,24.5,24.4,23.1,23.5,25.4,25.3,23.9,24.1,18.4,19.7,19.6,20.0,26.0,24.9,18.6,19.2,18.5,22.6
grants_or_subsidies,4794.0,948.0,1451.0,1694.0,2151.0,2664.0,4395.0,496.0,1837.0,2306.0,2517.0,1417.0,3391.0,1187.0,350.0,431.0,138.0,5834.0
grants_or_subsidies_percentage,36.5,31.6,33.3,34.4,35.7,35.5,36.6,33.8,40.8,41.4,41.5,39.2,35.7,35.2,21.6,37.2,29.0,34.5
advice_on_funding_possibilities_and_financial_planning_for_resource_efficiency_investments,3070.0,606.0,939.0,1085.0,1444.0,1774.0,2834.0,295.0,1055.0,1388.0,1499.0,846.0,2224.0,804.0,370.0,289.0,97.0,3950.0
advice_on_funding_possibilities_and_financial_planning_for_resource_efficiency_investments_percentage,23.4,20.2,21.6,22.1,23.9,23.7,23.6,20.1,23.4,24.9,24.7,23.4,23.4,23.8,22.8,24.9,20.4,23.4
demonstration_of_new_technologies_or_processes_to_improve_resource_efficiency,2839.0,666.0,961.0,1095.0,1322.0,1639.0,2599.0,308.0,940.0,1149.0,1240.0,760.0,2077.0,720.0,437.0,286.0,118.0,3805.0
demonstration_of_new_technologies_or_processes_to_improve_resource_efficiency_percentage,21.6,22.2,22.1,22.2,21.9,21.9,21.7,21.1,20.9,20.6,20.5,21.0,21.8,21.3,27.0,24.6,24.8,22.5
database_with_case_studies_that_show_the_benefits_of_resource_efficiency_for_companies,2124.0,440.0,638.0,725.0,951.0,1199.0,1918.0,280.0,719.0,905.0,973.0,590.0,1535.0,546.0,273.0,181.0,67.0,2676.0
database_with_case_studies_that_show_the_benefits_of_resource_efficiency_for_companies_percentage,16.2,14.7,14.7,14.7,15.8,16.0,16.0,19.1,16.0,16.3,16.0,16.3,16.1,16.2,16.9,15.6,14.1,15.8
better_cooperation_between_companies_across_sectors_so_that_new_processes_to_re_use_waste_and_by_products_can_be_developed,3249.0,805.0,1144.0,1267.0,1593.0,1970.0,2954.0,359.0,825.0,1126.0,1216.0,756.0,2474.0,866.0,422.0,366.0,108.0,4171.0
better_cooperation_between_companies_across_sectors_so_that_new_processes_to_re_use_waste_and_by_products_can_be_developed_percentage,24.8,26.8,26.3,25.7,26.4,26.3,24.6,24.5,18.3,20.2,20.1,20.9,26.0,25.7,26.0,31.5,22.6,24.7
clearer_rules_on_the_use_of_secondary_raw_materials,2436.0,602.0,813.0,888.0,1096.0,1347.0,2171.0,222.0,837.0,1044.0,1120.0,663.0,1772.0,722.0,294.0,173.0,71.0,2984.0
clearer_rules_on_the_use_of_secondary_raw_materials_percentage,18.6,20.0,18.7,18.0,18.2,18.0,18.1,15.1,18.6,18.8,18.5,18.4,18.6,21.4,18.2,14.9,14.9,17.6
other_do_not_read_out_,169.0,35.0,47.0,50.0,63.0,79.0,148.0,18.0,87.0,91.0,98.0,64.0,107.0,42.0,5.0,29.0,0.0,165.0
other_do_not_read_out__percentage,1.3,1.2,1.1,1.0,1.0,1.1,1.2,1.2,1.9,1.6,1.6,1.8,1.1,1.2,0.3,2.5,0.0,1.0
none_do_not_read_out_,1927.0,471.0,656.0,733.0,809.0,1019.0,1739.0,234.0,807.0,949.0,1042.0,615.0,1325.0,444.0,358.0,122.0,119.0,2795.0
none_do_not_read_out__percentage,14.7,15.7,15.1,14.9,13.4,13.6,14.5,15.9,17.9,17.0,17.2,17.0,13.9,13.2,22.1,10.5,25.0,16.5
don_t_know_no_answer,514.0,123.0,167.0,181.0,245.0,303.0,463.0,55.0,142.0,168.0,184.0,130.0,383.0,135.0,43.0,58.0,12.0,598.0
don_t_know_no_answer_percentage,3.9,4.1,3.8,3.7,4.1,4.0,3.9,3.8,3.2,3.0,3.0,3.6,4.0,4.0,2.6,5.0,2.6,3.5
