,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
1_9,12309.0,2793.0,4031.0,4560.0,5607.0,6969.0,11218.0,1365.0,4301.0,5304.0,5768.0,3431.0,8884.0,3143.0,1527.0,993.0,376.0,15483.0
1_9_percentage,93.8,93.0,92.5,92.6,92.9,93.0,93.5,93.2,95.6,95.2,95.2,94.9,93.4,93.1,94.3,85.6,79.1,91.6
10_49,709.0,184.0,284.0,317.0,372.0,461.0,677.0,86.0,168.0,226.0,251.0,155.0,548.0,203.0,86.0,143.0,82.0,1222.0
10_49_percentage,5.4,6.1,6.5,6.4,6.2,6.1,5.6,5.8,3.7,4.1,4.1,4.3,5.8,6.0,5.3,12.4,17.3,7.2
50_249,106.0,26.0,42.0,46.0,53.0,67.0,101.0,14.0,29.0,39.0,43.0,27.0,78.0,29.0,7.0,23.0,17.0,201.0
50_249_percentage,0.8,0.9,1.0,0.9,0.9,0.9,0.8,1.0,0.7,0.7,0.7,0.8,0.8,0.8,0.4,2.0,3.7,1.2
250_499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250_499_percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500__percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
don_t_know_no_answer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
don_t_know_no_answer_percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
