,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
0_employees,7516.0,1753.0,2608.0,2951.0,3496.0,4331.0,7029.0,811.0,2778.0,3309.0,3594.0,2113.0,5409.0,1831.0,1304.0,603.0,270.0,10148.0
0_employees_percentage,57.3,58.4,59.9,60.0,58.0,57.8,58.6,55.3,61.7,59.4,59.3,58.5,56.9,54.3,80.5,52.0,56.8,60.0
1_5_employees,4476.0,1011.0,1403.0,1593.0,2067.0,2582.0,3966.0,537.0,1251.0,1694.0,1843.0,1116.0,3344.0,1236.0,211.0,396.0,116.0,5126.0
1_5_employees_percentage,34.1,33.7,32.2,32.4,34.3,34.4,33.1,36.7,27.8,30.4,30.4,30.9,35.2,36.6,13.0,34.1,24.5,30.3
6_9_employees,334.0,67.0,86.0,97.0,123.0,158.0,277.0,46.0,137.0,172.0,191.0,114.0,223.0,79.0,27.0,71.0,39.0,527.0
6_9_employees_percentage,2.5,2.2,2.0,2.0,2.0,2.1,2.3,3.2,3.1,3.1,3.2,3.2,2.3,2.3,1.7,6.1,8.1,3.1
10_50_employees,112.0,30.0,39.0,43.0,49.0,62.0,93.0,13.0,28.0,43.0,48.0,32.0,81.0,36.0,10.0,27.0,17.0,198.0
10_50_employees_percentage,0.9,1.0,0.9,0.9,0.8,0.8,0.8,0.9,0.6,0.8,0.8,0.9,0.8,1.1,0.6,2.4,3.5,1.2
51_100_employees,5.0,1.0,6.0,7.0,7.0,8.0,11.0,0.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,1.0,1.0,19.0
51_100_employees_percentage,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.1
101_employees,3.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,6.0
101_employees_percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
dk_na,677.0,141.0,213.0,230.0,290.0,354.0,616.0,54.0,303.0,347.0,382.0,237.0,447.0,189.0,67.0,60.0,32.0,884.0
dk_na_percentage,5.2,4.7,4.9,4.7,4.8,4.7,5.1,3.7,6.7,6.2,6.3,6.6,4.7,5.6,4.1,5.2,6.7,5.2
mean,2.5,2.7,2.9,2.9,2.8,2.8,2.7,2.7,2.3,2.3,2.3,2.2,2.7,2.7,3.0,3.5,4.8,3.0
