,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
manufacturing_c_,1122.0,227.0,318.0,360.0,436.0,544.0,994.0,112.0,550.0,649.0,709.0,390.0,743.0,279.0,217.0,99.0,30.0,1452.0
manufacturing_c__percentage,8.5,7.6,7.3,7.3,7.2,7.3,8.3,7.7,12.2,11.6,11.7,10.8,7.8,8.3,13.4,8.5,6.4,8.6
industry_b_d_e_f_,2264.0,523.0,783.0,869.0,1046.0,1292.0,2130.0,230.0,888.0,1020.0,1106.0,648.0,1619.0,587.0,150.0,207.0,112.0,2956.0
industry_b_d_e_f__percentage,17.3,17.4,18.0,17.6,17.3,17.2,17.8,15.7,19.7,18.3,18.3,17.9,17.0,17.4,9.3,17.9,23.6,17.5
retail_g_,3217.0,720.0,1018.0,1170.0,1478.0,1811.0,2853.0,286.0,1006.0,1377.0,1491.0,886.0,2331.0,872.0,655.0,202.0,97.0,4268.0
retail_g__percentage,24.5,24.0,23.4,23.8,24.5,24.2,23.8,19.5,22.4,24.7,24.6,24.5,24.5,25.9,40.4,17.4,20.4,25.2
services_h_i_j_k_l_m_,6521.0,1533.0,2237.0,2524.0,3072.0,3850.0,6019.0,836.0,2055.0,2523.0,2756.0,1690.0,4816.0,1636.0,598.0,652.0,236.0,8231.0
services_h_i_j_k_l_m__percentage,49.7,51.1,51.4,51.3,50.9,51.4,50.2,57.1,45.7,45.3,45.5,46.8,50.6,48.5,36.9,56.2,49.6,48.7
