,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,3095.0,889.0,1263.0,1388.0,1641.0,2082.0,2974.0,441.0,892.0,1058.0,1128.0,812.0,2283.0,839.0,283.0,432.0,159.0,4094.0
base_weighted_total,2745.0,779.0,1125.0,1242.0,1483.0,1820.0,2636.0,294.0,595.0,688.0,746.0,438.0,2262.0,736.0,277.0,392.0,136.0,3724.0
public_funding_such_as_grants_guarantees_or_loans,967.0,263.0,398.0,446.0,517.0,631.0,951.0,94.0,272.0,311.0,333.0,197.0,761.0,245.0,59.0,183.0,30.0,1223.0
public_funding_such_as_grants_guarantees_or_loans_percentage,35.2,33.8,35.4,35.9,34.9,34.7,36.1,31.9,45.7,45.2,44.7,45.0,33.6,33.3,21.2,46.7,21.9,32.8
private_funding_from_a_bank_an_investment_company_or_venture_capital_fund,763.0,180.0,244.0,274.0,372.0,455.0,695.0,70.0,214.0,247.0,264.0,149.0,605.0,190.0,33.0,100.0,34.0,934.0
private_funding_from_a_bank_an_investment_company_or_venture_capital_fund_percentage,27.8,23.0,21.7,22.1,25.1,25.0,26.4,23.8,35.9,35.9,35.5,34.0,26.8,25.9,11.9,25.4,24.6,25.1
private_funding_from_friends_and_relatives,271.0,79.0,125.0,138.0,156.0,187.0,278.0,19.0,74.0,88.0,96.0,45.0,222.0,74.0,23.0,44.0,27.0,450.0
private_funding_from_friends_and_relatives_percentage,9.9,10.2,11.1,11.1,10.5,10.3,10.6,6.6,12.5,12.7,12.8,10.3,9.8,10.1,8.2,11.4,20.0,12.1
advice_or_other_non_financial_assistance_from_public_administration,726.0,203.0,307.0,341.0,406.0,502.0,718.0,92.0,147.0,167.0,180.0,98.0,613.0,179.0,57.0,128.0,52.0,1066.0
advice_or_other_non_financial_assistance_from_public_administration_percentage,26.4,26.0,27.3,27.5,27.4,27.6,27.2,31.3,24.7,24.3,24.2,22.4,27.1,24.3,20.7,32.7,38.3,28.6
advice_or_other_non_financial_assistance_from_private_consulting_and_audit_companies,1112.0,307.0,419.0,470.0,587.0,727.0,1041.0,138.0,215.0,243.0,258.0,163.0,929.0,311.0,61.0,105.0,43.0,1351.0
advice_or_other_non_financial_assistance_from_private_consulting_and_audit_companies_percentage,40.5,39.4,37.3,37.8,39.6,40.0,39.5,46.7,36.2,35.3,34.5,37.1,41.1,42.3,22.2,26.9,31.2,36.3
advice_or_other_non_financial_assistance_from_business_associations_and_clusters,746.0,193.0,277.0,309.0,376.0,480.0,703.0,127.0,171.0,200.0,214.0,133.0,603.0,182.0,42.0,135.0,58.0,1069.0
advice_or_other_non_financial_assistance_from_business_associations_and_clusters_percentage,27.2,24.7,24.6,24.9,25.3,26.4,26.6,43.1,28.7,29.0,28.7,30.3,26.7,24.7,15.0,34.5,42.8,28.7
advice_or_other_non_financial_assistance_from_supply_chain_partners,756.0,193.0,301.0,344.0,403.0,503.0,752.0,105.0,206.0,232.0,249.0,144.0,603.0,182.0,65.0,163.0,73.0,1215.0
advice_or_other_non_financial_assistance_from_supply_chain_partners_percentage,27.6,24.8,26.7,27.7,27.2,27.7,28.5,35.6,34.5,33.8,33.4,32.9,26.7,24.8,23.4,41.6,53.6,32.6
other_do_not_read_out_,153.0,46.0,84.0,90.0,103.0,126.0,176.0,21.0,30.0,35.0,39.0,24.0,126.0,45.0,2.0,7.0,6.0,215.0
other_do_not_read_out__percentage,5.6,5.9,7.5,7.3,6.9,6.9,6.7,7.3,5.0,5.1,5.3,5.5,5.6,6.1,0.8,1.7,4.5,5.8
don_t_know_no_answer,113.0,43.0,52.0,56.0,57.0,66.0,98.0,2.0,25.0,27.0,32.0,14.0,97.0,37.0,44.0,29.0,11.0,203.0
don_t_know_no_answer_percentage,4.1,5.5,4.7,4.5,3.8,3.6,3.7,0.8,4.2,3.9,4.3,3.2,4.3,5.0,15.9,7.3,8.1,5.5
total_public_sector_,1356.0,380.0,580.0,644.0,743.0,915.0,1350.0,155.0,343.0,388.0,417.0,248.0,1090.0,333.0,93.0,241.0,68.0,1853.0
total_public_sector__percentage,49.4,48.7,51.6,51.9,50.1,50.3,51.2,52.8,57.6,56.3,56.0,56.6,48.2,45.2,33.5,61.4,49.7,49.7
total_private_sector_,2108.0,571.0,833.0,926.0,1130.0,1403.0,2030.0,270.0,455.0,525.0,563.0,342.0,1732.0,550.0,188.0,303.0,111.0,2867.0
total_private_sector__percentage,76.8,73.3,74.0,74.5,76.2,77.1,77.0,91.7,76.4,76.3,75.5,78.0,76.6,74.8,67.8,77.4,81.5,77.0
