,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
b_mining_and_quarrying,71.0,22.0,27.0,30.0,35.0,43.0,58.0,5.0,6.0,16.0,17.0,12.0,57.0,25.0,4.0,1.0,3.0,80.0
b_mining_and_quarrying_percentage,0.5,0.7,0.6,0.6,0.6,0.6,0.5,0.4,0.1,0.3,0.3,0.3,0.6,0.7,0.2,0.1,0.5,0.5
c_manufacturing,1122.0,227.0,318.0,360.0,436.0,544.0,994.0,112.0,550.0,649.0,709.0,390.0,743.0,279.0,217.0,99.0,30.0,1452.0
c_manufacturing_percentage,8.5,7.6,7.3,7.3,7.2,7.3,8.3,7.7,12.2,11.6,11.7,10.8,7.8,8.3,13.4,8.5,6.4,8.6
d_electricity_gas_steam_and_air_conditioning_supply,111.0,21.0,25.0,33.0,50.0,62.0,95.0,12.0,28.0,35.0,39.0,25.0,85.0,27.0,16.0,20.0,4.0,140.0
d_electricity_gas_steam_and_air_conditioning_supply_percentage,0.8,0.7,0.6,0.7,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.7,0.9,0.8,1.0,1.7,0.8,0.8
e_water_supply_sewerage_waste_management_and_remediation_activities,124.0,30.0,43.0,48.0,67.0,80.0,112.0,8.0,19.0,23.0,28.0,12.0,109.0,39.0,9.0,5.0,40.0,314.0
e_water_supply_sewerage_waste_management_and_remediation_activities_percentage,0.9,1.0,1.0,1.0,1.1,1.1,0.9,0.5,0.4,0.4,0.5,0.3,1.1,1.2,0.5,0.4,8.5,1.9
f_construction,1957.0,450.0,688.0,757.0,894.0,1107.0,1865.0,206.0,834.0,945.0,1022.0,599.0,1367.0,495.0,121.0,182.0,65.0,2422.0
f_construction_percentage,14.9,15.0,15.8,15.4,14.8,14.8,15.6,14.0,18.5,17.0,16.9,16.6,14.4,14.7,7.5,15.7,13.7,14.3
g_wholesale_and_retail_trade_repair_of_motor_vehicles_and_motorcycles,3217.0,720.0,1018.0,1170.0,1478.0,1811.0,2853.0,286.0,1006.0,1377.0,1491.0,886.0,2331.0,872.0,655.0,202.0,97.0,4268.0
g_wholesale_and_retail_trade_repair_of_motor_vehicles_and_motorcycles_percentage,24.5,24.0,23.4,23.8,24.5,24.2,23.8,19.5,22.4,24.7,24.6,24.5,24.5,25.9,40.4,17.4,20.4,25.2
h_transportation_and_storage,777.0,133.0,199.0,226.0,297.0,393.0,681.0,138.0,329.0,423.0,463.0,258.0,525.0,182.0,182.0,48.0,6.0,971.0
h_transportation_and_storage_percentage,5.9,4.4,4.6,4.6,4.9,5.2,5.7,9.4,7.3,7.6,7.6,7.2,5.5,5.4,11.2,4.2,1.2,5.7
i_accommodation_and_food_service_activities,1515.0,484.0,675.0,756.0,870.0,1048.0,1452.0,118.0,224.0,281.0,303.0,183.0,1298.0,431.0,56.0,264.0,159.0,2354.0
i_accommodation_and_food_service_activities_percentage,11.5,16.1,15.5,15.4,14.4,14.0,12.1,8.1,5.0,5.0,5.0,5.1,13.7,12.8,3.5,22.7,33.5,13.9
j_information_and_communication,861.0,176.0,287.0,325.0,407.0,525.0,816.0,153.0,272.0,341.0,375.0,259.0,605.0,212.0,106.0,83.0,8.0,1033.0
j_information_and_communication_percentage,6.6,5.9,6.6,6.6,6.7,7.0,6.8,10.4,6.0,6.1,6.2,7.2,6.4,6.3,6.6,7.2,1.7,6.1
k_financial_and_insurance_activities,605.0,165.0,218.0,251.0,288.0,344.0,520.0,30.0,152.0,212.0,234.0,140.0,462.0,163.0,27.0,36.0,15.0,670.0
k_financial_and_insurance_activities_percentage,4.6,5.5,5.0,5.1,4.8,4.6,4.3,2.0,3.4,3.8,3.9,3.9,4.9,4.8,1.7,3.1,3.2,4.0
l_real_estate_activities,627.0,120.0,179.0,197.0,293.0,367.0,585.0,79.0,216.0,246.0,263.0,168.0,458.0,176.0,35.0,77.0,34.0,817.0
l_real_estate_activities_percentage,4.8,4.0,4.1,4.0,4.9,4.9,4.9,5.4,4.8,4.4,4.3,4.7,4.8,5.2,2.1,6.7,7.1,4.8
m_professional_scientific_and_technical_activities,2136.0,456.0,679.0,769.0,917.0,1174.0,1965.0,318.0,862.0,1020.0,1118.0,681.0,1468.0,472.0,192.0,143.0,14.0,2385.0
m_professional_scientific_and_technical_activities_percentage,16.3,15.2,15.6,15.6,15.2,15.7,16.4,21.7,19.2,18.3,18.4,18.9,15.4,14.0,11.8,12.3,3.0,14.1
