,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
yes,4168.0,1039.0,1478.0,1682.0,2048.0,2561.0,3865.0,543.0,1116.0,1327.0,1442.0,874.0,3255.0,1060.0,229.0,555.0,166.0,5171.0
yes_percentage,31.8,34.6,33.9,34.2,33.9,34.2,32.2,37.1,24.8,23.8,23.8,24.2,34.2,31.4,14.1,47.9,35.0,30.6
no_but_you_are_planning_to_do_so_in_the_next_2_years,1570.0,345.0,531.0,618.0,766.0,918.0,1420.0,90.0,463.0,671.0,726.0,426.0,1143.0,437.0,180.0,97.0,41.0,1956.0
no_but_you_are_planning_to_do_so_in_the_next_2_years_percentage,12.0,11.5,12.2,12.6,12.7,12.2,11.8,6.2,10.3,12.1,12.0,11.8,12.0,13.0,11.1,8.3,8.7,11.6
no_and_you_are_not_planning_to_do_so,6827.0,1505.0,2153.0,2413.0,2931.0,3665.0,6167.0,775.0,2745.0,3351.0,3649.0,2160.0,4706.0,1744.0,1148.0,443.0,247.0,9027.0
no_and_you_are_not_planning_to_do_so_percentage,52.0,50.1,49.4,49.0,48.6,48.9,51.4,52.9,61.0,60.2,60.2,59.8,49.5,51.7,70.9,38.2,52.1,53.4
don_t_know_no_answer,558.0,114.0,194.0,209.0,288.0,353.0,544.0,57.0,175.0,220.0,246.0,153.0,405.0,133.0,62.0,65.0,20.0,752.0
don_t_know_no_answer_percentage,4.3,3.8,4.5,4.2,4.8,4.7,4.5,3.9,3.9,4.0,4.1,4.2,4.3,3.9,3.9,5.6,4.2,4.4
total_no_,8397.0,1850.0,2684.0,3031.0,3697.0,4583.0,7587.0,866.0,3207.0,4022.0,4375.0,2586.0,5850.0,2181.0,1328.0,540.0,289.0,10984.0
total_no__percentage,64.0,61.6,61.6,61.6,61.3,61.1,63.2,59.1,71.3,72.2,72.2,71.6,61.5,64.6,82.0,46.5,60.8,65.0
