,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
base_weighted_total,13124.0,3003.0,4356.0,4922.0,6032.0,7497.0,11996.0,1465.0,4499.0,5569.0,6062.0,3614.0,9510.0,3374.0,1620.0,1160.0,475.0,16907.0
less_than_25_000_euro,769.0,79.0,108.0,127.0,161.0,234.0,526.0,135.0,413.0,717.0,776.0,447.0,355.0,150.0,115.0,54.0,20.0,930.0
less_than_25_000_euro_percentage,5.9,2.6,2.5,2.6,2.7,3.1,4.4,9.2,9.2,12.9,12.8,12.4,3.7,4.5,7.1,4.6,4.1,5.5
more_than_25_000_to_50_000_euro,978.0,92.0,183.0,226.0,320.0,405.0,853.0,98.0,613.0,822.0,887.0,457.0,547.0,203.0,36.0,33.0,32.0,1179.0
more_than_25_000_to_50_000_euro_percentage,7.5,3.1,4.2,4.6,5.3,5.4,7.1,6.7,13.6,14.8,14.6,12.7,5.8,6.0,2.2,2.9,6.6,7.0
more_than_50_000_to_100_000_euro,1256.0,148.0,269.0,330.0,498.0,622.0,1152.0,130.0,655.0,804.0,876.0,461.0,811.0,266.0,66.0,54.0,30.0,1477.0
more_than_50_000_to_100_000_euro_percentage,9.6,4.9,6.2,6.7,8.3,8.3,9.6,8.9,14.6,14.4,14.5,12.8,8.5,7.9,4.1,4.7,6.2,8.7
more_than_100_000_to_250_000_euro,2106.0,440.0,655.0,749.0,932.0,1181.0,1952.0,290.0,821.0,948.0,1033.0,637.0,1477.0,540.0,128.0,86.0,34.0,2365.0
more_than_100_000_to_250_000_euro_percentage,16.0,14.6,15.0,15.2,15.5,15.8,16.3,19.8,18.2,17.0,17.0,17.6,15.5,16.0,7.9,7.4,7.1,14.0
more_than_250_000_to_500_000_euro,1962.0,494.0,686.0,783.0,966.0,1176.0,1821.0,164.0,596.0,666.0,729.0,437.0,1511.0,537.0,182.0,101.0,30.0,2239.0
more_than_250_000_to_500_000_euro_percentage,15.0,16.4,15.7,15.9,16.0,15.7,15.2,11.2,13.3,12.0,12.0,12.1,15.9,15.9,11.2,8.7,6.4,13.2
more_than_500_000_to_2_million_euro,2655.0,763.0,1064.0,1181.0,1392.0,1714.0,2505.0,293.0,601.0,671.0,732.0,496.0,2126.0,732.0,160.0,418.0,103.0,3314.0
more_than_500_000_to_2_million_euro_percentage,20.2,25.4,24.4,24.0,23.1,22.9,20.9,20.0,13.4,12.0,12.1,13.7,22.4,21.7,9.9,36.0,21.7,19.6
more_than_2_to_10_million_euro,1029.0,297.0,420.0,468.0,557.0,700.0,979.0,155.0,167.0,187.0,205.0,173.0,840.0,278.0,146.0,199.0,36.0,1364.0
more_than_2_to_10_million_euro_percentage,7.8,9.9,9.6,9.5,9.2,9.3,8.2,10.6,3.7,3.4,3.4,4.8,8.8,8.2,9.0,17.2,7.7,8.1
more_than_10_to_50_million_euro,567.0,215.0,268.0,292.0,313.0,376.0,510.0,41.0,60.0,69.0,75.0,53.0,499.0,161.0,60.0,42.0,5.0,613.0
more_than_10_to_50_million_euro_percentage,4.3,7.2,6.2,5.9,5.2,5.0,4.3,2.8,1.3,1.2,1.2,1.5,5.3,4.8,3.7,3.6,1.0,3.6
more_than_50_million_euro,87.0,25.0,44.0,47.0,51.0,66.0,97.0,17.0,24.0,26.0,27.0,25.0,62.0,22.0,12.0,19.0,4.0,131.0
more_than_50_million_euro_percentage,0.7,0.8,1.0,1.0,0.9,0.9,0.8,1.2,0.5,0.5,0.4,0.7,0.7,0.6,0.7,1.6,0.8,0.8
don_t_know_no_answer,1716.0,450.0,659.0,719.0,842.0,1024.0,1601.0,142.0,548.0,659.0,722.0,428.0,1282.0,486.0,716.0,153.0,183.0,3296.0
don_t_know_no_answer_percentage,13.1,15.0,15.1,14.6,14.0,13.7,13.3,9.7,12.2,11.8,11.9,11.9,13.5,14.4,44.2,13.2,38.5,19.5
