Unnamed: 0,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,Q1,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
base_weighted_total,Q1,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
saving_water,Q1,6371.0,297.0,236.0,277.0,217.0,202.0,165.0,138.0,274.0,413.0,351.0,168.0,209.0,79.0,195.0,313.0,110.0,216.0,123.0,174.0,199.0,266.0,188.0,248.0,129.0,385.0,178.0,209.0,202.0,43.0,131.0,179.0,33.0,37.0,61.0,17.0,131.0,242.0,289.0
saving_water_percentage,Q1,48.5,54.7,49.7,50.9,49.2,35.4,33.2,29.0,48.4,72.9,64.5,34.0,38.3,31.7,38.8,64.2,44.0,46.2,49.3,31.5,43.8,48.0,34.6,41.7,28.2,78.4,37.6,39.0,46.4,17.6,28.0,40.4,34.7,39.3,12.3,15.8,27.9,53.4,60.9
saving_energy,Q1,8675.0,419.0,290.0,352.0,334.0,378.0,258.0,192.0,380.0,476.0,412.0,256.0,316.0,140.0,260.0,353.0,144.0,307.0,89.0,321.0,286.0,352.0,231.0,318.0,198.0,403.0,307.0,370.0,229.0,87.0,260.0,304.0,36.0,56.0,110.0,22.0,190.0,247.0,324.0
saving_energy_percentage,Q1,66.1,77.1,61.1,64.7,75.6,66.2,51.8,40.3,67.1,84.1,75.8,52.0,57.9,56.6,51.7,72.3,57.4,65.7,35.7,58.4,63.0,63.7,42.4,53.5,43.2,82.2,65.0,68.9,52.7,35.4,55.3,68.6,38.2,60.1,22.1,21.2,40.4,54.3,68.3
using_predominantly_renewable_energy_e_g_including_own_production_through_solar_panels_etc_,Q1,3165.0,204.0,49.0,91.0,152.0,208.0,47.0,60.0,91.0,146.0,62.0,51.0,173.0,37.0,44.0,88.0,74.0,106.0,45.0,227.0,161.0,80.0,90.0,67.0,85.0,67.0,144.0,226.0,113.0,50.0,86.0,162.0,8.0,8.0,22.0,7.0,24.0,51.0,67.0
using_predominantly_renewable_energy_e_g_including_own_production_through_solar_panels_etc__percentage,Q1,24.1,37.6,10.3,16.7,34.4,36.5,9.4,12.6,16.0,25.8,11.4,10.4,31.7,14.9,8.8,17.9,29.8,22.6,17.9,41.2,35.4,14.5,16.5,11.3,18.5,13.6,30.4,42.0,25.9,20.4,18.3,36.5,8.1,8.1,4.4,6.8,5.2,11.1,14.2
saving_materials,Q1,7412.0,351.0,237.0,330.0,249.0,295.0,196.0,116.0,315.0,444.0,277.0,202.0,305.0,96.0,238.0,381.0,124.0,213.0,98.0,336.0,251.0,294.0,161.0,268.0,175.0,361.0,300.0,407.0,212.0,101.0,227.0,236.0,26.0,31.0,93.0,20.0,185.0,267.0,320.0
saving_materials_percentage,Q1,56.5,64.7,50.0,60.6,56.4,51.7,39.4,24.4,55.7,78.5,51.0,40.9,55.9,38.8,47.4,78.1,49.4,45.4,39.2,61.2,55.2,53.1,29.7,45.1,38.1,73.5,63.4,75.8,48.8,40.9,48.3,53.2,27.6,33.2,18.7,18.7,39.4,58.8,67.3
switching_to_greener_suppliers_of_materials,Q1,4369.0,238.0,136.0,189.0,156.0,189.0,92.0,126.0,194.0,297.0,213.0,80.0,153.0,61.0,99.0,210.0,94.0,95.0,105.0,145.0,160.0,129.0,76.0,202.0,115.0,193.0,135.0,210.0,190.0,77.0,186.0,204.0,23.0,11.0,29.0,4.0,63.0,190.0,227.0
switching_to_greener_suppliers_of_materials_percentage,Q1,33.3,43.8,28.7,34.7,35.3,33.1,18.6,26.4,34.4,52.5,39.1,16.2,28.1,24.4,19.7,43.1,37.4,20.3,42.2,26.4,35.3,23.3,14.1,33.9,25.0,39.3,28.6,39.1,43.6,31.4,39.6,46.0,24.7,12.2,5.9,3.8,13.4,41.9,47.8
minimising_waste,Q1,8619.0,449.0,283.0,406.0,277.0,338.0,227.0,235.0,296.0,466.0,378.0,248.0,433.0,101.0,208.0,309.0,164.0,254.0,113.0,342.0,334.0,279.0,108.0,280.0,233.0,404.0,298.0,408.0,315.0,135.0,350.0,316.0,45.0,18.0,102.0,9.0,162.0,257.0,370.0
minimising_waste_percentage,Q1,65.7,82.6,59.5,74.6,62.8,59.1,45.7,49.4,52.3,82.3,69.5,50.3,79.4,40.8,41.4,63.3,65.8,54.2,45.3,62.2,73.5,50.4,19.8,47.0,50.8,82.2,63.1,76.1,72.5,55.0,74.5,71.2,47.5,19.3,20.4,8.5,34.5,56.6,77.9
selling_your_residues_and_waste_to_another_company,Q1,2935.0,152.0,93.0,154.0,98.0,128.0,57.0,38.0,85.0,158.0,131.0,84.0,118.0,20.0,87.0,128.0,77.0,89.0,63.0,172.0,94.0,87.0,109.0,115.0,67.0,100.0,84.0,93.0,71.0,45.0,89.0,112.0,16.0,6.0,56.0,7.0,101.0,106.0,120.0
selling_your_residues_and_waste_to_another_company_percentage,Q1,22.4,28.0,19.5,28.4,22.1,22.4,11.5,8.0,15.0,27.9,24.0,17.1,21.7,8.2,17.3,26.2,30.8,19.1,25.1,31.2,20.6,15.8,20.1,19.3,14.7,20.3,17.7,17.3,16.2,18.3,18.9,25.2,16.7,6.5,11.2,6.3,21.6,23.3,25.3
recycling_by_reusing_material_or_waste_within_the_company,Q1,6307.0,262.0,127.0,256.0,184.0,223.0,180.0,260.0,188.0,434.0,278.0,157.0,262.0,125.0,74.0,163.0,132.0,106.0,112.0,310.0,211.0,204.0,297.0,204.0,170.0,250.0,235.0,304.0,294.0,83.0,248.0,241.0,15.0,15.0,69.0,16.0,99.0,195.0,324.0
recycling_by_reusing_material_or_waste_within_the_company_percentage,Q1,48.1,48.2,26.8,47.1,41.7,39.0,36.2,54.6,33.1,76.6,51.0,31.8,48.0,50.4,14.6,33.4,52.8,22.6,45.0,56.3,46.5,36.8,54.6,34.3,36.9,51.0,49.7,56.7,67.6,33.6,52.7,54.3,16.4,16.3,13.9,15.6,21.1,43.0,68.3
designing_products_that_are_easier_to_maintain_repair_or_reuse,Q1,3804.0,185.0,100.0,212.0,134.0,181.0,82.0,74.0,128.0,255.0,186.0,79.0,155.0,33.0,70.0,130.0,77.0,66.0,60.0,152.0,129.0,78.0,56.0,156.0,111.0,129.0,170.0,178.0,131.0,56.0,172.0,133.0,3.0,5.0,33.0,6.0,52.0,164.0,219.0
designing_products_that_are_easier_to_maintain_repair_or_reuse_percentage,Q1,29.0,34.0,21.1,39.0,30.4,31.7,16.5,15.5,22.6,45.1,34.3,16.1,28.4,13.3,13.9,26.6,31.0,14.1,24.0,27.7,28.4,14.1,10.2,26.2,24.2,26.2,36.0,33.1,30.2,22.9,36.6,30.0,3.6,5.8,6.6,6.2,11.1,36.1,46.2
other_do_not_read_out_,Q1,225.0,6.0,13.0,1.0,21.0,8.0,0.0,4.0,0.0,2.0,9.0,4.0,13.0,0.0,25.0,0.0,9.0,25.0,4.0,17.0,1.0,4.0,40.0,2.0,21.0,2.0,1.0,11.0,5.0,5.0,18.0,8.0,0.0,3.0,50.0,0.0,0.0,0.0,0.0
