criteria,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,Q6,3095.0,178.0,92.0,133.0,148.0,170.0,45.0,111.0,125.0,188.0,199.0,70.0,139.0,29.0,58.0,95.0,61.0,156.0,76.0,142.0,169.0,69.0,65.0,74.0,112.0,119.0,132.0,140.0,115.0,41.0,207.0,184.0,11.0,10.0,56.0,20.0,120.0,76.0,159.0
base_weighted_total,Q6,2745.0,132.0,58.0,89.0,93.0,136.0,21.0,116.0,77.0,143.0,152.0,51.0,136.0,31.0,23.0,65.0,58.0,122.0,78.0,154.0,135.0,32.0,57.0,41.0,73.0,104.0,97.0,74.0,113.0,20.0,162.0,167.0,12.0,7.0,34.0,11.0,105.0,78.0,136.0
public_funding_such_as_grants_guarantees_or_loans,Q6,967.0,49.0,27.0,36.0,12.0,51.0,12.0,59.0,42.0,45.0,63.0,12.0,35.0,11.0,7.0,40.0,14.0,98.0,35.0,44.0,43.0,5.0,9.0,15.0,11.0,29.0,23.0,28.0,51.0,7.0,88.0,54.0,1.0,2.0,7.0,3.0,79.0,13.0,30.0
public_funding_such_as_grants_guarantees_or_loans_percentage,Q6,35.2,37.0,46.6,41.2,12.7,37.1,60.1,50.7,54.6,31.4,41.6,23.7,25.6,34.5,31.9,61.3,23.9,80.2,44.9,28.6,31.9,17.0,15.7,37.5,15.7,27.9,24.3,37.7,44.8,35.8,54.2,32.2,7.6,32.9,19.9,26.9,75.7,16.9,21.9
private_funding_from_a_bank_an_investment_company_or_venture_capital_fund,Q6,763.0,43.0,21.0,35.0,24.0,48.0,7.0,21.0,29.0,57.0,29.0,10.0,21.0,8.0,4.0,22.0,5.0,44.0,31.0,45.0,40.0,12.0,27.0,14.0,13.0,35.0,20.0,13.0,16.0,2.0,44.0,38.0,2.0,4.0,13.0,3.0,18.0,9.0,34.0
private_funding_from_a_bank_an_investment_company_or_venture_capital_fund_percentage,Q6,27.8,32.5,36.3,39.2,25.4,35.0,32.6,17.9,37.3,39.8,19.3,18.8,15.1,25.1,16.2,34.2,8.9,36.4,39.9,28.9,29.9,37.4,46.3,34.5,17.9,34.1,21.1,17.4,13.9,10.6,27.2,22.6,18.0,64.3,37.7,25.1,17.1,11.0,24.6
private_funding_from_friends_and_relatives,Q6,271.0,11.0,9.0,18.0,0.0,27.0,1.0,11.0,8.0,12.0,11.0,9.0,10.0,5.0,2.0,12.0,7.0,1.0,6.0,15.0,10.0,4.0,0.0,6.0,8.0,19.0,4.0,5.0,21.0,4.0,18.0,19.0,0.0,2.0,4.0,0.0,3.0,7.0,27.0
private_funding_from_friends_and_relatives_percentage,Q6,9.9,8.6,15.7,20.4,0.4,20.0,4.4,9.1,10.5,8.4,7.0,16.8,7.6,15.9,10.3,18.5,11.6,1.0,7.5,10.0,7.6,12.9,0.0,14.0,11.1,18.3,4.6,6.7,18.2,18.7,11.1,11.6,0.0,28.6,13.1,2.8,3.1,8.8,20.0
advice_or_other_non_financial_assistance_from_public_administration,Q6,726.0,63.0,16.0,28.0,24.0,53.0,5.0,43.0,27.0,42.0,43.0,10.0,13.0,6.0,1.0,30.0,34.0,25.0,7.0,46.0,55.0,4.0,3.0,7.0,16.0,34.0,26.0,16.0,38.0,4.0,59.0,44.0,0.0,0.0,3.0,0.0,34.0,16.0,52.0
advice_or_other_non_financial_assistance_from_public_administration_percentage,Q6,26.4,48.0,26.8,31.7,25.6,39.1,21.9,37.6,35.0,29.6,28.3,19.0,9.3,19.2,6.3,46.5,58.0,20.4,8.8,30.1,40.7,11.6,5.7,17.2,21.7,32.8,26.8,22.0,33.6,20.4,36.3,26.2,0.0,4.4,8.8,0.0,32.1,20.5,38.3
advice_or_other_non_financial_assistance_from_private_consulting_and_audit_companies,Q6,1112.0,68.0,6.0,55.0,44.0,33.0,8.0,21.0,45.0,74.0,40.0,1.0,90.0,16.0,4.0,29.0,16.0,25.0,15.0,40.0,65.0,6.0,14.0,18.0,17.0,45.0,37.0,38.0,30.0,6.0,39.0,53.0,6.0,0.0,7.0,0.0,7.0,18.0,43.0
