,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,12184.0,528.0,438.0,518.0,415.0,524.0,433.0,434.0,519.0,559.0,522.0,435.0,519.0,218.0,399.0,462.0,244.0,423.0,236.0,536.0,449.0,505.0,497.0,514.0,417.0,471.0,452.0,517.0,424.0,216.0,439.0,422.0,73.0,73.0,329.0,67.0,393.0,413.0,450.0
base_weighted_total,12066.0,511.0,426.0,502.0,395.0,505.0,412.0,448.0,492.0,556.0,507.0,412.0,516.0,215.0,362.0,447.0,240.0,371.0,237.0,533.0,444.0,496.0,490.0,486.0,362.0,469.0,439.0,487.0,427.0,204.0,414.0,411.0,77.0,70.0,273.0,49.0,362.0,382.0,447.0
nothing,3111.0,110.0,104.0,157.0,142.0,107.0,174.0,52.0,139.0,137.0,185.0,76.0,76.0,70.0,125.0,214.0,67.0,60.0,39.0,139.0,99.0,171.0,80.0,105.0,113.0,125.0,148.0,174.0,145.0,81.0,60.0,75.0,33.0,18.0,60.0,12.0,71.0,149.0,86.0
nothing_percentage,25.8,21.5,24.3,31.2,35.9,21.2,42.4,11.6,28.3,24.6,36.4,18.4,14.8,32.4,34.5,47.8,27.8,16.2,16.6,26.1,22.3,34.5,16.3,21.6,31.1,26.6,33.7,35.8,34.0,39.9,14.4,18.3,42.9,25.2,21.8,25.1,19.5,38.8,19.3
less_than_1_of_annual_revenue,2692.0,99.0,85.0,102.0,71.0,92.0,90.0,64.0,77.0,67.0,143.0,89.0,156.0,58.0,88.0,108.0,76.0,101.0,40.0,101.0,107.0,120.0,64.0,136.0,88.0,127.0,93.0,94.0,52.0,38.0,69.0,91.0,1.0,14.0,56.0,5.0,72.0,42.0,78.0
less_than_1_of_annual_revenue_percentage,22.3,19.3,19.9,20.2,17.9,18.2,21.9,14.2,15.6,12.1,28.2,21.5,30.3,26.8,24.3,24.3,31.6,27.3,17.0,18.9,24.1,24.2,13.0,28.0,24.2,27.2,21.2,19.4,12.3,18.9,16.7,22.3,1.6,19.5,20.6,10.2,20.0,11.0,17.5
1_5_of_annual_revenue,3314.0,168.0,116.0,134.0,65.0,162.0,94.0,128.0,174.0,241.0,88.0,141.0,119.0,52.0,78.0,73.0,57.0,121.0,71.0,146.0,146.0,111.0,146.0,141.0,76.0,129.0,97.0,122.0,111.0,49.0,143.0,131.0,9.0,7.0,56.0,14.0,105.0,97.0,129.0
1_5_of_annual_revenue_percentage,27.5,32.9,27.1,26.7,16.5,32.0,22.8,28.5,35.4,43.3,17.4,34.2,23.1,24.2,21.4,16.2,23.9,32.5,29.8,27.4,32.9,22.3,29.9,29.0,21.0,27.6,22.1,25.1,26.1,24.0,34.7,32.0,12.2,9.7,20.3,28.8,29.0,25.3,29.0
6_10_of_annual_turnover,1013.0,49.0,59.0,57.0,31.0,52.0,26.0,60.0,59.0,53.0,23.0,32.0,49.0,16.0,24.0,25.0,10.0,19.0,13.0,18.0,19.0,28.0,64.0,54.0,42.0,52.0,58.0,49.0,35.0,4.0,54.0,40.0,13.0,14.0,45.0,8.0,48.0,40.0,49.0
6_10_of_annual_turnover_percentage,8.4,9.6,13.8,11.3,7.8,10.3,6.3,13.3,12.0,9.6,4.6,7.6,9.6,7.6,6.5,5.7,4.1,5.1,5.3,3.3,4.4,5.7,13.0,11.1,11.5,11.2,13.1,10.1,8.1,2.0,13.0,9.8,16.9,20.3,16.5,16.1,13.3,10.5,10.9
11_30_of_annual_turnover,380.0,13.0,20.0,23.0,20.0,17.0,3.0,24.0,24.0,19.0,9.0,17.0,12.0,7.0,13.0,5.0,1.0,19.0,3.0,23.0,8.0,10.0,21.0,19.0,24.0,8.0,19.0,26.0,11.0,4.0,11.0,7.0,10.0,1.0,16.0,0.0,35.0,13.0,30.0
11_30_of_annual_turnover_percentage,3.2,2.6,4.8,4.5,5.1,3.4,0.7,5.3,4.9,3.4,1.8,4.2,2.3,3.0,3.7,1.1,0.4,5.2,1.2,4.4,1.8,2.1,4.3,3.8,6.5,1.8,4.4,5.4,2.7,1.8,2.7,1.8,13.3,2.1,6.0,0.6,9.7,3.4,6.7
