,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,1155.0,78.0,27.0,43.0,64.0,57.0,22.0,36.0,66.0,80.0,59.0,22.0,37.0,11.0,24.0,40.0,22.0,27.0,14.0,50.0,81.0,14.0,10.0,20.0,51.0,38.0,69.0,93.0,59.0,25.0,76.0,72.0,7.0,7.0,36.0,8.0,18.0,14.0,72.0
base_weighted_total,1042.0,70.0,29.0,30.0,58.0,34.0,15.0,50.0,56.0,79.0,47.0,10.0,41.0,11.0,10.0,38.0,17.0,9.0,12.0,66.0,84.0,10.0,16.0,17.0,42.0,36.0,50.0,61.0,46.0,12.0,54.0,63.0,14.0,8.0,21.0,3.0,20.0,4.0,61.0
public_funding_such_as_grants_guarantees_or_loans,193.0,20.0,4.0,14.0,6.0,4.0,12.0,5.0,19.0,13.0,4.0,3.0,5.0,0.0,3.0,23.0,5.0,2.0,5.0,19.0,15.0,0.0,0.0,3.0,8.0,6.0,10.0,19.0,3.0,0.0,15.0,12.0,0.0,0.0,3.0,0.0,5.0,0.0,11.0
public_funding_such_as_grants_guarantees_or_loans_percentage,18.5,28.4,12.1,45.5,10.6,13.3,79.2,9.8,33.6,16.6,9.2,28.7,12.5,0.0,31.6,59.9,26.5,21.0,41.3,29.0,17.9,4.6,0.0,15.9,20.2,16.8,20.7,30.6,7.3,1.4,27.5,18.3,0.0,1.9,13.1,1.0,25.7,4.1,17.9
private_funding_from_a_bank_investment_company_or_venture_capital_fund,189.0,14.0,7.0,7.0,5.0,5.0,1.0,21.0,10.0,18.0,2.0,2.0,9.0,2.0,4.0,12.0,4.0,0.0,1.0,2.0,25.0,2.0,13.0,7.0,3.0,8.0,8.0,15.0,3.0,2.0,11.0,13.0,3.0,2.0,2.0,0.0,3.0,0.0,9.0
private_funding_from_a_bank_investment_company_or_venture_capital_fund_percentage,18.1,19.8,23.3,23.5,7.7,15.7,4.4,42.0,18.7,23.2,4.8,20.8,20.9,20.7,35.0,31.0,24.7,5.4,11.5,3.3,30.2,15.9,80.9,38.7,7.7,21.9,15.7,25.2,6.5,14.0,20.6,19.8,18.5,27.4,8.1,11.7,15.9,7.4,14.6
private_funding_from_friends_or_relatives,123.0,6.0,2.0,6.0,1.0,7.0,0.0,1.0,1.0,5.0,7.0,1.0,8.0,4.0,0.0,12.0,0.0,1.0,4.0,7.0,3.0,0.0,0.0,6.0,1.0,7.0,6.0,0.0,5.0,0.0,4.0,7.0,0.0,0.0,2.0,0.0,0.0,3.0,8.0
private_funding_from_friends_or_relatives_percentage,11.8,8.7,6.7,18.2,1.3,20.4,0.6,2.3,2.5,6.1,15.5,12.8,20.1,34.8,0.0,31.5,0.0,13.3,33.7,10.3,4.2,0.0,0.7,34.8,2.9,20.2,11.2,0.2,11.1,0.0,7.4,10.4,0.0,0.0,9.9,0.0,0.7,85.0,13.6
advice_or_other_non_financial_assistance_from_public_administration,195.0,25.0,3.0,11.0,6.0,10.0,5.0,18.0,3.0,7.0,2.0,2.0,8.0,0.0,2.0,13.0,4.0,3.0,0.0,23.0,29.0,0.0,5.0,0.0,1.0,6.0,16.0,10.0,10.0,5.0,14.0,17.0,0.0,1.0,3.0,0.0,1.0,3.0,15.0
advice_or_other_non_financial_assistance_from_public_administration_percentage,18.7,35.7,8.7,36.3,10.4,30.7,31.4,36.6,6.1,8.3,5.0,16.9,20.6,0.0,20.8,33.2,20.9,30.6,1.8,35.4,34.6,0.0,30.7,0.6,1.7,18.1,31.9,15.8,20.8,41.5,26.2,26.6,0.0,10.3,12.2,2.0,6.7,82.1,25.0
advice_or_other_non_financial_assistance_from_private_consulting_and_audit_companies,327.0,35.0,11.0,17.0,21.0,6.0,10.0,8.0,11.0,37.0,14.0,1.0,10.0,0.0,2.0,7.0,5.0,3.0,0.0,8.0,27.0,3.0,5.0,4.0,4.0,11.0,15.0,26.0,21.0,2.0,6.0,19.0,0.0,0.0,1.0,0.0,3.0,3.0,23.0
advice_or_other_non_financial_assistance_from_private_consulting_and_audit_companies_percentage,31.4,50.1,37.2,55.2,36.1,16.7,68.9,16.6,19.0,47.4,30.4,8.5,25.0,4.2,17.6,17.6,26.7,31.2,0.0,12.8,31.9,28.9,34.2,25.5,8.5,30.4,29.1,42.3,45.0,16.0,10.4,30.6,0.0,1.9,6.6,4.0,17.0,79.7,37.4
